base,ref,similarity
data scientist,"I data scientist scoprono e interpretano fonti ricche di dati, gestiscono grandi quantità di dati, ne aggregano le fonti, garantiscono la coerenza degli insiemi di dati e creano visualizzazioni per contribuire alla loro comprensione. Costruiscono modelli matematici che utilizzano dati, presentano e comunicano informazioni e conoscenze sui dati agli specialisti e agli scienziati nella loro squadra e, se necessario, a un pubblico non specializzato e raccomandano modalità di applicazione dei dati.",1.0
cosmologist,cosmology data scientist,0.74681668889336494
data analyst,data storage analyst,0.74681668889336494
data analyst,data warehouse analyst,0.74681668889336494
data analyst,data warehousing analyst,0.74681668889336494
meter reader,metering data analyst,0.74681668889336494
statistician,statistical data analyst,0.74681668889336494
data scientist,esperta di dati,0.74681668889336494
data scientist,data engineer,0.74681668889336494
data scientist,data-scientist,0.74681668889336494
data scientist,data research scientist,0.74681668889336494
data scientist,esperto di dati,0.74681668889336494
data scientist,data expert,0.74681668889336494
data scientist,data analyst,0.74681668889336494
data scientist,research data scientist,0.74681668889336494
data scientist,research analist,0.74681668889336494
data scientist,research data scientist,0.74681668889336494
data scientist,analista dei dati di ricerca,0.74681668889336494
data scientist,business data scientist,0.74681668889336494
analista dei dati,data analyst,0.74681668889336494
call centre analyst,sales data analyst,0.74681668889336494
call centre analyst,CRM data analyst,0.74681668889336494
call centre analyst,customer data analyst,0.74681668889336494
call centre analyst,senior data analyst,0.74681668889336494
call centre analyst,assistant data analyst,0.74681668889336494
call centre analyst,trainee data analyst,0.74681668889336494
call centre analyst,graduate data analyst,0.74681668889336494
call centre analyst,marketing data analyst,0.74681668889336494
call centre analyst,IT data analyst,0.74681668889336494
analyste de données,data analyst,0.74681668889336494
bioinformatics scientist,data scientist,0.74681668889336494
scientifique des données,data scientist,0.74681668889336494
