Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,symmetric,0.61,0.27129619317484943
75% Corpus,3,symmetric,0.9099999999999999,0.26967265698428594
75% Corpus,3,symmetric,symmetric,0.27410490247923297
75% Corpus,3,asymmetric,0.01,0.27839627006352724
75% Corpus,3,asymmetric,0.31,0.2761361679469974
75% Corpus,3,asymmetric,0.61,0.27335893705876174
75% Corpus,3,asymmetric,0.9099999999999999,0.2679744346749598
75% Corpus,3,asymmetric,symmetric,0.27410490247923297
75% Corpus,4,0.01,0.01,0.2668910500383095
75% Corpus,4,0.01,0.31,0.2838954443896148
75% Corpus,4,0.01,0.61,0.2865926544014952
75% Corpus,4,0.01,0.9099999999999999,0.27003887281216177
75% Corpus,4,0.01,symmetric,0.2796510251967742
75% Corpus,4,0.31,0.01,0.2668910500383095
75% Corpus,4,0.31,0.31,0.2838954443896148
75% Corpus,4,0.31,0.61,0.2865926544014952
75% Corpus,4,0.31,0.9099999999999999,0.2725567640010955
75% Corpus,4,0.31,symmetric,0.2806724093952981
75% Corpus,4,0.61,0.01,0.2668910500383095
75% Corpus,4,0.61,0.31,0.28505646918509386
75% Corpus,4,0.61,0.61,0.2892439806686463
75% Corpus,4,0.61,0.9099999999999999,0.2725567640010955
75% Corpus,4,0.61,symmetric,0.2806724093952981
75% Corpus,4,0.9099999999999999,0.01,0.2685576018605267
75% Corpus,4,0.9099999999999999,0.31,0.2860778533836178
75% Corpus,4,0.9099999999999999,0.61,0.2892439806686463
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.2725567640010955
75% Corpus,4,0.9099999999999999,symmetric,0.27955372987186383
75% Corpus,4,symmetric,0.01,0.2668910500383095
75% Corpus,4,symmetric,0.31,0.2838954443896148
75% Corpus,4,symmetric,0.61,0.2865926544014952
75% Corpus,4,symmetric,0.9099999999999999,0.2725567640010955
75% Corpus,4,symmetric,symmetric,0.2806724093952981
75% Corpus,4,asymmetric,0.01,0.26812725545164134
75% Corpus,4,asymmetric,0.31,0.2838954443896148
75% Corpus,4,asymmetric,0.61,0.29144326581678964
75% Corpus,4,asymmetric,0.9099999999999999,0.2721780507981776
75% Corpus,4,asymmetric,symmetric,0.27675604929105146
75% Corpus,5,0.01,0.01,0.2921917497600287
75% Corpus,5,0.01,0.31,0.27552154453031585
75% Corpus,5,0.01,0.61,0.269308750481684
75% Corpus,5,0.01,0.9099999999999999,0.2709825760478901
75% Corpus,5,0.01,symmetric,0.2748624070876895
75% Corpus,5,0.31,0.01,0.2921917497600287
75% Corpus,5,0.31,0.31,0.2748594189290374
75% Corpus,5,0.31,0.61,0.27297615024851607
75% Corpus,5,0.31,0.9099999999999999,0.27487775415711974
75% Corpus,5,0.31,symmetric,0.27717279279720247
75% Corpus,5,0.61,0.01,0.29578845568370865
75% Corpus,5,0.61,0.31,0.27395015677623524
75% Corpus,5,0.61,0.61,0.27297615024851607
75% Corpus,5,0.61,0.9099999999999999,0.2740301275419981
75% Corpus,5,0.61,symmetric,0.2771727927972025
75% Corpus,5,0.9099999999999999,0.01,0.2957884556837086
75% Corpus,5,0.9099999999999999,0.31,0.27395015677623524
75% Corpus,5,0.9099999999999999,0.61,0.28404895953113735
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.277640513968081
75% Corpus,5,0.9099999999999999,symmetric,0.27934536161569634
75% Corpus,5,symmetric,0.01,0.2921917497600287
75% Corpus,5,symmetric,0.31,0.2748594189290374
75% Corpus,5,symmetric,0.61,0.2689322892718954
75% Corpus,5,symmetric,0.9099999999999999,0.27487775415711974
75% Corpus,5,symmetric,symmetric,0.2748624070876895
75% Corpus,5,asymmetric,0.01,0.29578845568370865
75% Corpus,5,asymmetric,0.31,0.2757452278352188
75% Corpus,5,asymmetric,0.61,0.26239407325290853
75% Corpus,5,asymmetric,0.9099999999999999,0.2686874093590562
75% Corpus,5,asymmetric,symmetric,0.2770349759061833
75% Corpus,6,0.01,0.01,0.30284473516050225
75% Corpus,6,0.01,0.31,0.30249950909918444
75% Corpus,6,0.01,0.61,0.3121782769555992
75% Corpus,6,0.01,0.9099999999999999,0.35411824844325124
75% Corpus,6,0.01,symmetric,0.30436985837998276
75% Corpus,6,0.31,0.01,0.301390971353645
75% Corpus,6,0.31,0.31,0.3024063840590527
75% Corpus,6,0.31,0.61,0.31042451210080446
75% Corpus,6,0.31,0.9099999999999999,0.35411824844325124
75% Corpus,6,0.31,symmetric,0.30491985962114915
75% Corpus,6,0.61,0.01,0.30064456740988804
75% Corpus,6,0.61,0.31,0.30715638376430365
75% Corpus,6,0.61,0.61,0.31042451210080446
75% Corpus,6,0.61,0.9099999999999999,0.35418725691606756
75% Corpus,6,0.61,symmetric,0.3049198596211492
75% Corpus,6,0.9099999999999999,0.01,0.3013337842863722
75% Corpus,6,0.9099999999999999,0.31,0.3024679491620339
75% Corpus,6,0.9099999999999999,0.61,0.31042451210080446
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3541872569160675
75% Corpus,6,0.9099999999999999,symmetric,0.30491985962114915
75% Corpus,6,symmetric,0.01,0.30065930794388435
75% Corpus,6,symmetric,0.31,0.3024063840590527
75% Corpus,6,symmetric,0.61,0.31042451210080446
75% Corpus,6,symmetric,0.9099999999999999,0.35411824844325124
75% Corpus,6,symmetric,symmetric,0.30436985837998276
75% Corpus,6,asymmetric,0.01,0.2967291360253754
75% Corpus,6,asymmetric,0.31,0.302076431936051
75% Corpus,6,asymmetric,0.61,0.30847841491074096
75% Corpus,6,asymmetric,0.9099999999999999,0.35477042247541973
75% Corpus,6,asymmetric,symmetric,0.3073932906534706
75% Corpus,7,0.01,0.01,0.2811852190841381
75% Corpus,7,0.01,0.31,0.2920220131136521
75% Corpus,7,0.01,0.61,0.28852068336946435
75% Corpus,7,0.01,0.9099999999999999,0.316288019095773
75% Corpus,7,0.01,symmetric,0.2726152139083012
75% Corpus,7,0.31,0.01,0.2788837794017795
75% Corpus,7,0.31,0.31,0.2909961139203829
75% Corpus,7,0.31,0.61,0.28852068336946435
75% Corpus,7,0.31,0.9099999999999999,0.3129742202428836
75% Corpus,7,0.31,symmetric,0.2777182230257198
75% Corpus,7,0.61,0.01,0.28327368320570007
75% Corpus,7,0.61,0.31,0.28935990578371756
75% Corpus,7,0.61,0.61,0.28852068336946435
75% Corpus,7,0.61,0.9099999999999999,0.31405801487937557
75% Corpus,7,0.61,symmetric,0.2759279034494479
75% Corpus,7,0.9099999999999999,0.01,0.28327368320570007
75% Corpus,7,0.9099999999999999,0.31,0.28722285177113666
75% Corpus,7,0.9099999999999999,0.61,0.28966178578989427
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.31405801487937557
75% Corpus,7,0.9099999999999999,symmetric,0.27734639862412164
75% Corpus,7,symmetric,0.01,0.2788837794017795
75% Corpus,7,symmetric,0.31,0.2909961139203829
75% Corpus,7,symmetric,0.61,0.28852068336946435
75% Corpus,7,symmetric,0.9099999999999999,0.31628801909577303
75% Corpus,7,symmetric,symmetric,0.2756697323965734
75% Corpus,7,asymmetric,0.01,0.2853642185426731
75% Corpus,7,asymmetric,0.31,0.2907271450321393
75% Corpus,7,asymmetric,0.61,0.29361676225955274
75% Corpus,7,asymmetric,0.9099999999999999,0.2882054578232691
75% Corpus,7,asymmetric,symmetric,0.2755194552200007
75% Corpus,8,0.01,0.01,0.2808202028308223
75% Corpus,8,0.01,0.31,0.29736349070880286
75% Corpus,8,0.01,0.61,0.2981078394239831
75% Corpus,8,0.01,0.9099999999999999,0.33233988889385435
75% Corpus,8,0.01,symmetric,0.28156849418007524
75% Corpus,8,0.31,0.01,0.28097129035113944
75% Corpus,8,0.31,0.31,0.29941241997917767
75% Corpus,8,0.31,0.61,0.2960462608237895
75% Corpus,8,0.31,0.9099999999999999,0.327937391019251
75% Corpus,8,0.31,symmetric,0.28207106831879114
75% Corpus,8,0.61,0.01,0.2809772515659067
75% Corpus,8,0.61,0.31,0.2993455174990556
75% Corpus,8,0.61,0.61,0.2946710626297879
75% Corpus,8,0.61,0.9099999999999999,0.32359289177614337
75% Corpus,8,0.61,symmetric,0.28138865001186986
75% Corpus,8,0.9099999999999999,0.01,0.27976485139485124
75% Corpus,8,0.9099999999999999,0.31,0.2956217410776679
75% Corpus,8,0.9099999999999999,0.61,0.28864637585951036
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3282635584644864
75% Corpus,8,0.9099999999999999,symmetric,0.28148737285248604
75% Corpus,8,symmetric,0.01,0.2808202028308223
75% Corpus,8,symmetric,0.31,0.29736349070880286
75% Corpus,8,symmetric,0.61,0.297949677831361
75% Corpus,8,symmetric,0.9099999999999999,0.3265139021008282
75% Corpus,8,symmetric,symmetric,0.2817931736933517
75% Corpus,8,asymmetric,0.01,0.27839412750067105
75% Corpus,8,asymmetric,0.31,0.296460251572274
75% Corpus,8,asymmetric,0.61,0.297148250775704
75% Corpus,8,asymmetric,0.9099999999999999,0.32649247107917795
75% Corpus,8,asymmetric,symmetric,0.2785059288493066
75% Corpus,9,0.01,0.01,0.30218586423505117
75% Corpus,9,0.01,0.31,0.3020235109956903
75% Corpus,9,0.01,0.61,0.4185691849535152
75% Corpus,9,0.01,0.9099999999999999,0.30527967183321003
75% Corpus,9,0.01,symmetric,0.3060635646496002
75% Corpus,9,0.31,0.01,0.30068508513688286
75% Corpus,9,0.31,0.31,0.3021506007873651
75% Corpus,9,0.31,0.61,0.40687439307467294
75% Corpus,9,0.31,0.9099999999999999,0.3073421317714173
75% Corpus,9,0.31,symmetric,0.3074145374333964
75% Corpus,9,0.61,0.01,0.3008820210254886
75% Corpus,9,0.61,0.31,0.30275011169684873
75% Corpus,9,0.61,0.61,0.41015152208333183
75% Corpus,9,0.61,0.9099999999999999,0.30255055512967155
75% Corpus,9,0.61,symmetric,0.30715762371551203
75% Corpus,9,0.9099999999999999,0.01,0.3022010046079812
75% Corpus,9,0.9099999999999999,0.31,0.30477890773318156
75% Corpus,9,0.9099999999999999,0.61,0.40433106836971433
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.307644042466123
75% Corpus,9,0.9099999999999999,symmetric,0.30605307577755286
75% Corpus,9,symmetric,0.01,0.3013158303146456
75% Corpus,9,symmetric,0.31,0.304290454027783
75% Corpus,9,symmetric,0.61,0.4140952699790183
75% Corpus,9,symmetric,0.9099999999999999,0.30527967183321
75% Corpus,9,symmetric,symmetric,0.3046097002166359
75% Corpus,9,asymmetric,0.01,0.30129966466596664
75% Corpus,9,asymmetric,0.31,0.30429095996678135
75% Corpus,9,asymmetric,0.61,0.41788064240742073
75% Corpus,9,asymmetric,0.9099999999999999,0.3025975330524115
75% Corpus,9,asymmetric,symmetric,0.30669601144755215
75% Corpus,10,0.01,0.01,0.29670164537919275
75% Corpus,10,0.01,0.31,0.3047813348299382
75% Corpus,10,0.01,0.61,0.31606878233356517
75% Corpus,10,0.01,0.9099999999999999,0.3377296641607972
75% Corpus,10,0.01,symmetric,0.29319673176987077
75% Corpus,10,0.31,0.01,0.29805457831216586
75% Corpus,10,0.31,0.31,0.30369633038354127
75% Corpus,10,0.31,0.61,0.30998451194916454
75% Corpus,10,0.31,0.9099999999999999,0.34268251293470897
75% Corpus,10,0.31,symmetric,0.29319673176987077
75% Corpus,10,0.61,0.01,0.29386231031811644
75% Corpus,10,0.61,0.31,0.29541931052055126
75% Corpus,10,0.61,0.61,0.309970817294693
75% Corpus,10,0.61,0.9099999999999999,0.3453018084648031
75% Corpus,10,0.61,symmetric,0.29319673176987077
75% Corpus,10,0.9099999999999999,0.01,0.2945143416112511
75% Corpus,10,0.9099999999999999,0.31,0.34045282991315623
75% Corpus,10,0.9099999999999999,0.61,0.3126412466766651
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.3435699386195771
75% Corpus,10,0.9099999999999999,symmetric,0.29319673176987077
75% Corpus,10,symmetric,0.01,0.29805457831216586
75% Corpus,10,symmetric,0.31,0.30478133482993813
75% Corpus,10,symmetric,0.61,0.31606878233356517
75% Corpus,10,symmetric,0.9099999999999999,0.33772966416079714
75% Corpus,10,symmetric,symmetric,0.29319673176987077
75% Corpus,10,asymmetric,0.01,0.29815109815940033
75% Corpus,10,asymmetric,0.31,0.35146410607200645
75% Corpus,10,asymmetric,0.61,0.3196615767839669
75% Corpus,10,asymmetric,0.9099999999999999,0.34012655333540415
75% Corpus,10,asymmetric,symmetric,0.2930959026114379
100% Corpus,2,0.01,0.01,0.26049496936796
100% Corpus,2,0.01,0.31,0.2631487596403128
100% Corpus,2,0.01,0.61,0.2670430149871908
100% Corpus,2,0.01,0.9099999999999999,0.2784737874245884
100% Corpus,2,0.01,symmetric,0.2659027879879802
100% Corpus,2,0.31,0.01,0.26049496936796
100% Corpus,2,0.31,0.31,0.2631487596403128
100% Corpus,2,0.31,0.61,0.2670430149871908
100% Corpus,2,0.31,0.9099999999999999,0.2784737874245884
100% Corpus,2,0.31,symmetric,0.2659027879879802
100% Corpus,2,0.61,0.01,0.26049496936796007
100% Corpus,2,0.61,0.31,0.2631487596403128
100% Corpus,2,0.61,0.61,0.2670430149871908
100% Corpus,2,0.61,0.9099999999999999,0.27847378742458834
100% Corpus,2,0.61,symmetric,0.2659027879879803
100% Corpus,2,0.9099999999999999,0.01,0.26049496936796007
100% Corpus,2,0.9099999999999999,0.31,0.2631487596403128
100% Corpus,2,0.9099999999999999,0.61,0.2670430149871908
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.27847378742458834
100% Corpus,2,0.9099999999999999,symmetric,0.2659027879879803
100% Corpus,2,symmetric,0.01,0.26049496936796007
100% Corpus,2,symmetric,0.31,0.2631487596403128
100% Corpus,2,symmetric,0.61,0.2670430149871908
100% Corpus,2,symmetric,0.9099999999999999,0.27847378742458834
100% Corpus,2,symmetric,symmetric,0.2659027879879802
100% Corpus,2,asymmetric,0.01,0.26049496936796
100% Corpus,2,asymmetric,0.31,0.2638307040567668
100% Corpus,2,asymmetric,0.61,0.2670430149871908
100% Corpus,2,asymmetric,0.9099999999999999,0.2784737874245884
100% Corpus,2,asymmetric,symmetric,0.2659027879879803
100% Corpus,3,0.01,0.01,0.27711689254474037
100% Corpus,3,0.01,0.31,0.27802374195120044
100% Corpus,3,0.01,0.61,0.27993004576503216
100% Corpus,3,0.01,0.9099999999999999,0.28461303163756196
100% Corpus,3,0.01,symmetric,0.27802374195120044
100% Corpus,3,0.31,0.01,0.2803842121014907
100% Corpus,3,0.31,0.31,0.27802374195120044
100% Corpus,3,0.31,0.61,0.27993004576503216
100% Corpus,3,0.31,0.9099999999999999,0.2836001930609014
100% Corpus,3,0.31,symmetric,0.27802374195120044
100% Corpus,3,0.61,0.01,0.2803842121014907
100% Corpus,3,0.61,0.31,0.27802374195120044
100% Corpus,3,0.61,0.61,0.28095006391110916
100% Corpus,3,0.61,0.9099999999999999,0.2836495488056456
100% Corpus,3,0.61,symmetric,0.27802374195120044
100% Corpus,3,0.9099999999999999,0.01,0.28041475692228796
100% Corpus,3,0.9099999999999999,0.31,0.27802374195120044
100% Corpus,3,0.9099999999999999,0.61,0.28095006391110916
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.2836495488056456
100% Corpus,3,0.9099999999999999,symmetric,0.27802374195120044
100% Corpus,3,symmetric,0.01,0.2803842121014907
100% Corpus,3,symmetric,0.31,0.27802374195120044
100% Corpus,3,symmetric,0.61,0.27993004576503216
100% Corpus,3,symmetric,0.9099999999999999,0.2836495488056456
100% Corpus,3,symmetric,symmetric,0.27802374195120044
100% Corpus,3,asymmetric,0.01,0.2803842121014907
100% Corpus,3,asymmetric,0.31,0.27802374195120044
100% Corpus,3,asymmetric,0.61,0.28095006391110916
100% Corpus,3,asymmetric,0.9099999999999999,0.2836495488056456
100% Corpus,3,asymmetric,symmetric,0.27802374195120044
100% Corpus,4,0.01,0.01,0.2809362113240368
100% Corpus,4,0.01,0.31,0.27835632925620063
100% Corpus,4,0.01,0.61,0.27555206267257515
100% Corpus,4,0.01,0.9099999999999999,0.28446330333455255
100% Corpus,4,0.01,symmetric,0.27835632925620063
100% Corpus,4,0.31,0.01,0.2809362113240368
100% Corpus,4,0.31,0.31,0.27835632925620063
100% Corpus,4,0.31,0.61,0.27548045699445267
100% Corpus,4,0.31,0.9099999999999999,0.28446330333455255
100% Corpus,4,0.31,symmetric,0.27835632925620063
100% Corpus,4,0.61,0.01,0.2809362113240368
100% Corpus,4,0.61,0.31,0.27835632925620063
100% Corpus,4,0.61,0.61,0.27966327435739713
100% Corpus,4,0.61,0.9099999999999999,0.28446330333455255
100% Corpus,4,0.61,symmetric,0.2782671534254213
100% Corpus,4,0.9099999999999999,0.01,0.28177729599690937
100% Corpus,4,0.9099999999999999,0.31,0.27835632925620063
100% Corpus,4,0.9099999999999999,0.61,0.28263222170754976
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.28446330333455255
100% Corpus,4,0.9099999999999999,symmetric,0.27749145169031925
100% Corpus,4,symmetric,0.01,0.2809362113240368
100% Corpus,4,symmetric,0.31,0.27835632925620063
100% Corpus,4,symmetric,0.61,0.27548045699445267
100% Corpus,4,symmetric,0.9099999999999999,0.28446330333455255
100% Corpus,4,symmetric,symmetric,0.27835632925620063
100% Corpus,4,asymmetric,0.01,0.2809362113240368
100% Corpus,4,asymmetric,0.31,0.27835632925620063
100% Corpus,4,asymmetric,0.61,0.27335019355355233
100% Corpus,4,asymmetric,0.9099999999999999,0.28118168667280763
100% Corpus,4,asymmetric,symmetric,0.2782671534254213
100% Corpus,5,0.01,0.01,0.3055810333138698
100% Corpus,5,0.01,0.31,0.2921971083432925
100% Corpus,5,0.01,0.61,0.29351918649837283
100% Corpus,5,0.01,0.9099999999999999,0.31027882311552357
100% Corpus,5,0.01,symmetric,0.28798663645353445
100% Corpus,5,0.31,0.01,0.3055810333138698
100% Corpus,5,0.31,0.31,0.2919593387953088
100% Corpus,5,0.31,0.61,0.29351918649837283
100% Corpus,5,0.31,0.9099999999999999,0.3013857090688862
100% Corpus,5,0.31,symmetric,0.28798663645353445
100% Corpus,5,0.61,0.01,0.30778470383924467
100% Corpus,5,0.61,0.31,0.29467018241870313
100% Corpus,5,0.61,0.61,0.29688907251265284
100% Corpus,5,0.61,0.9099999999999999,0.3013857090688862
100% Corpus,5,0.61,symmetric,0.29224715357405645
100% Corpus,5,0.9099999999999999,0.01,0.30778470383924467
100% Corpus,5,0.9099999999999999,0.31,0.2891142546834146
100% Corpus,5,0.9099999999999999,0.61,0.29749568404827875
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.30064353604119265
100% Corpus,5,0.9099999999999999,symmetric,0.2903640490356588
100% Corpus,5,symmetric,0.01,0.3055810333138698
100% Corpus,5,symmetric,0.31,0.2919593387953088
100% Corpus,5,symmetric,0.61,0.29351918649837283
100% Corpus,5,symmetric,0.9099999999999999,0.3013857090688862
100% Corpus,5,symmetric,symmetric,0.28798663645353445
100% Corpus,5,asymmetric,0.01,0.3025740990082661
100% Corpus,5,asymmetric,0.31,0.2891198159919257
100% Corpus,5,asymmetric,0.61,0.2931349532251887
100% Corpus,5,asymmetric,0.9099999999999999,0.30951060360405697
100% Corpus,5,asymmetric,symmetric,0.2903640490356588
100% Corpus,6,0.01,0.01,0.2958760348579074
100% Corpus,6,0.01,0.31,0.2941800616166869
100% Corpus,6,0.01,0.61,0.2971723188349142
100% Corpus,6,0.01,0.9099999999999999,0.30879954124012965
100% Corpus,6,0.01,symmetric,0.29805452202591254
100% Corpus,6,0.31,0.01,0.2969800967267447
100% Corpus,6,0.31,0.31,0.2951136969205841
100% Corpus,6,0.31,0.61,0.2971723188349142
100% Corpus,6,0.31,0.9099999999999999,0.30879954124012965
100% Corpus,6,0.31,symmetric,0.29820145833395656
100% Corpus,6,0.61,0.01,0.2969800967267447
100% Corpus,6,0.61,0.31,0.2951136969205841
100% Corpus,6,0.61,0.61,0.2977299345012703
100% Corpus,6,0.61,0.9099999999999999,0.3049789423287517
100% Corpus,6,0.61,symmetric,0.29863606640969337
100% Corpus,6,0.9099999999999999,0.01,0.29390398336601525
100% Corpus,6,0.9099999999999999,0.31,0.2951136969205841
100% Corpus,6,0.9099999999999999,0.61,0.2957487280234154
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.3049789423287517
100% Corpus,6,0.9099999999999999,symmetric,0.29863606640969337
100% Corpus,6,symmetric,0.01,0.2955217784385554
100% Corpus,6,symmetric,0.31,0.2941800616166869
100% Corpus,6,symmetric,0.61,0.2971723188349142
100% Corpus,6,symmetric,0.9099999999999999,0.30879954124012965
100% Corpus,6,symmetric,symmetric,0.29820145833395656
100% Corpus,6,asymmetric,0.01,0.2949603603199485
100% Corpus,6,asymmetric,0.31,0.2951136969205841
100% Corpus,6,asymmetric,0.61,0.2977299345012703
100% Corpus,6,asymmetric,0.9099999999999999,0.30674292283526966
100% Corpus,6,asymmetric,symmetric,0.29823105460471666
100% Corpus,7,0.01,0.01,0.30073678510163443
100% Corpus,7,0.01,0.31,0.3093075297409759
100% Corpus,7,0.01,0.61,0.2985273077717666
100% Corpus,7,0.01,0.9099999999999999,0.28108775204553077
100% Corpus,7,0.01,symmetric,0.29593451694501705
100% Corpus,7,0.31,0.01,0.3021816720953532
100% Corpus,7,0.31,0.31,0.3136135696595105
100% Corpus,7,0.31,0.61,0.30525285357617626
100% Corpus,7,0.31,0.9099999999999999,0.2810941659084761
100% Corpus,7,0.31,symmetric,0.29621498771621146
100% Corpus,7,0.61,0.01,0.3021816720953532
100% Corpus,7,0.61,0.31,0.3136135696595104
100% Corpus,7,0.61,0.61,0.30936066130234136
100% Corpus,7,0.61,0.9099999999999999,0.28629245148004184
100% Corpus,7,0.61,symmetric,0.29731679986925613
100% Corpus,7,0.9099999999999999,0.01,0.3020919465269357
100% Corpus,7,0.9099999999999999,0.31,0.3136135696595105
100% Corpus,7,0.9099999999999999,0.61,0.3151197257139406
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.288468301912423
100% Corpus,7,0.9099999999999999,symmetric,0.30014119040856624
100% Corpus,7,symmetric,0.01,0.29800123606081913
100% Corpus,7,symmetric,0.31,0.3093075297409759
100% Corpus,7,symmetric,0.61,0.29852730777176656
100% Corpus,7,symmetric,0.9099999999999999,0.2833650342764223
100% Corpus,7,symmetric,symmetric,0.29621498771621146
100% Corpus,7,asymmetric,0.01,0.3014826617961082
100% Corpus,7,asymmetric,0.31,0.30946569097108306
100% Corpus,7,asymmetric,0.61,0.29780622606183804
100% Corpus,7,asymmetric,0.9099999999999999,0.27769095312678477
100% Corpus,7,asymmetric,symmetric,0.29669074530709133
100% Corpus,8,0.01,0.01,0.27689325792791325
100% Corpus,8,0.01,0.31,0.28335268992548035
100% Corpus,8,0.01,0.61,0.29447751279748635
100% Corpus,8,0.01,0.9099999999999999,0.2933443347019431
100% Corpus,8,0.01,symmetric,0.2719332438180937
100% Corpus,8,0.31,0.01,0.2778826015547943
100% Corpus,8,0.31,0.31,0.2825893964563385
100% Corpus,8,0.31,0.61,0.2939449197205991
100% Corpus,8,0.31,0.9099999999999999,0.2933443347019431
100% Corpus,8,0.31,symmetric,0.2729328842173082
100% Corpus,8,0.61,0.01,0.2778826015547943
100% Corpus,8,0.61,0.31,0.28595528080117094
100% Corpus,8,0.61,0.61,0.2927074117432516
100% Corpus,8,0.61,0.9099999999999999,0.2872200703569201
100% Corpus,8,0.61,symmetric,0.2732337709535984
100% Corpus,8,0.9099999999999999,0.01,0.27786820825055075
100% Corpus,8,0.9099999999999999,0.31,0.28418596093474835
100% Corpus,8,0.9099999999999999,0.61,0.2900190376327208
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.29123665567102414
100% Corpus,8,0.9099999999999999,symmetric,0.27323377095359846
100% Corpus,8,symmetric,0.01,0.27689325792791325
100% Corpus,8,symmetric,0.31,0.28420779222803205
100% Corpus,8,symmetric,0.61,0.2952855947321743
100% Corpus,8,symmetric,0.9099999999999999,0.2933443347019431
100% Corpus,8,symmetric,symmetric,0.2725123137958163
100% Corpus,8,asymmetric,0.01,0.2761789762953015
100% Corpus,8,asymmetric,0.31,0.2799130295170522
100% Corpus,8,asymmetric,0.61,0.2948589392161668
100% Corpus,8,asymmetric,0.9099999999999999,0.2812546037633434
100% Corpus,8,asymmetric,symmetric,0.2729328842173082
100% Corpus,9,0.01,0.01,0.3055895680888938
100% Corpus,9,0.01,0.31,0.30302760647148597
100% Corpus,9,0.01,0.61,0.2996054006558133
100% Corpus,9,0.01,0.9099999999999999,0.34404649042246366
100% Corpus,9,0.01,symmetric,0.3022567927575817
100% Corpus,9,0.31,0.01,0.3050065555696478
100% Corpus,9,0.31,0.31,0.30328591827752077
100% Corpus,9,0.31,0.61,0.29917768071256
100% Corpus,9,0.31,0.9099999999999999,0.34479247631815907
100% Corpus,9,0.31,symmetric,0.30430285315228395
